main_cate_name,sub_cate_name,ranking,title,ori_price,dis_price,discount_percent
스포츠/자동차,캠핑/낚시,4,[빈슨메시프]판매1위 사계절 동계 침낭 행사+에어베개 사은품,46300,13900,69
스포츠/자동차,캠핑/낚시,5,까사맘 스마트 쿠커  LG-06-06,109000,95000,12
식품,ALL,2,최상급 통통 왕새우 1kg 30-35미 / 쿠폰적용가 19920원,24900,24900,0
식품,ALL,3,경북 햇 빨간 홍로사과 5kg(25-27과 내)/한입/가정용,29800,14900,50
식품,ALL,4,2봉/산동고기왕만두1.4kg+김치왕만두1.4kg/만두 간식,29800,14900,50
스포츠/자동차,골프,9,[휠라]키즈 크레마 보아플리스(FK2PLC4101X),49000,39200,20
스포츠/자동차,골프,10,[나이키]나이키 골프모자 레거시91 캡 헤리티지86 퓨추라캡,19900,19310,2
스포츠/자동차,휘트니스/수영,10,[고무나라]NBR 20mm 16mm 요가매트 TPE 10mm 8mm 6mm와이드 운동,20500,20500,0
스포츠/자동차,휘트니스/수영,11,[이고진]스텝퍼 7320 계단밟기 유산소운동 스탭퍼,39000,30420,22
스포츠/자동차,휘트니스/수영,12,[멜킨스포츠]멜킨스포츠 20mm 두꺼운 클럽 요가매트 NBR TPE,21700,21700,0
스포츠/자동차,휘트니스/수영,13,[잡잡]인증검사받은 NBR/TPE 요가 운동 필라테스 매트 용품,13800,13600,1
스포츠/자동차,스포츠의류/운동화,9,[프로스펙스][프로스펙스] 남성여성 경량 워킹화 런닝화 X40 101 102 103 104,39000,27300,30
스포츠/자동차,스포츠의류/운동화,10,[아디다스](신세계마산점)[UNISEX/RUNNING] x9000L1/이큅먼트 10 U/이큅먼트 10 EM/슈퍼스타 슬립온 (EG4792 EG479...,67500,52590,22
스포츠/자동차,스포츠의류/운동화,11,[휠라]휠라레이 스크립트 1RM01149926,49000,49000,0
스포츠/자동차,스포츠의류/운동화,12,[휠라]휠라 로고 맨투맨 FS2POA1002XBLK,29000,29000,0
여행,ALL,8,(공식판매처) 에버랜드 종일/오후/나이트권(~10/31),46000,22900,50
여행,ALL,9,"|충남 리조트| 롯데리조트 부여 (서천,부여)",91350,91350,0
여행,ALL,10,"|경남 리조트| 사천 아르떼 리조트 (사천,남해)",129000,129000,0
스포츠/자동차,자전거/보드/기타레저,10,[에이유테크]AU테크 안전배송_AU테크 스카닉 M20 24V 전기자전거,1330000,399000,70
스포츠/자동차,자전거/보드/기타레저,11,2019 메버릭 포고스틱/아동/주니어 스카이콩콩 19~36kg,21500,20860,2
스포츠/자동차,자전거/보드/기타레저,12,바론스쿠터/서스펜션/청소년/성인용 킥보드/세아무역,64900,56900,12
패션의류,ALL,18,[원더브라]원더브라 최신상 푸쉬업 브라팬티 균일가 LINE UP,60000,18000,70
패션의류,ALL,19,루나샵 가을신상 5900원~티셔츠/맨투맨/원피스/박스티,19600,5900,69
패션의류,ALL,20,[행텐]행텐 가을SALE 맨투맨/데님 외 최대92%off+12%쿠폰,29600,8900,69
패션의류,브랜드 여성의류,8,[이엔씨]가을신상 블라우스 8종모음 (DSENC_005),32000,26240,18
패션의류,브랜드 여성의류,9,[올리브데올리브]올리브데올리브본사 가을 ITEM SALE,396000,119000,69
패션의류,브랜드 여성의류,10,[플라스틱아일랜드]플라스틱아일랜드 간절기 스타일링TIP 자켓원피스~79%,106000,32000,69
패션의류,브랜드 여성의류,11,진도모피/끌레베/엘페 3대 그룹전 최대 64% OFF,1860000,560000,69
유아동/출산,ALL,8,[베비언스]베비언스 킨더밀쉬 1단계 200ml 24입,26900,26900,0
유아동/출산,ALL,9,[아이더키즈](신세계하남점)아이더키즈 아동 롱패딩 2종 할인전(JMF18501 JMW18513),89000,89000,0
유아동/출산,ALL,10,[베이비베이비]베이비베이비 아기물티슈 트윙클120매 20팩 캡형,29900,14900,50
유아동/출산,ALL,11,국산 가을 유아.아동.주니어 내의/내복/실내복/잠옷,26000,7900,69
스포츠/자동차,ALL,16,[코오롱스포츠][코오롱스포츠] 남녀공용 테라노바 롱 다운 JWJDW19221,235000,164500,30
스포츠/자동차,ALL,17,[네파](신세계하남점)네파 남여 클래식 팔라스 플리스 7E75404 7E85404_SHN,25000,18250,27
스포츠/자동차,ALL,18,[까스텔바작]까스텔바작 망설이면 품절 한정수량 양말/모자 특가전,19000,5740,69
ALL,ALL,28,[사조해표]사조해표 카놀라유 900ml x4병 /식용유/기름,20740,12200,41
ALL,ALL,29,행주의 중독 20P,5900,5850,0
ALL,ALL,30,퓨어커버 국내산 KF94 4중 마스크 대형 방역 황사 50매,36560,34010,6
패션의류,언더웨어,2,가을신상 홈웨어 잠옷 초특가 사은품 증정,23000,6900,70
패션의류,언더웨어,3,[트라이]여성팬티 5매/여자/여성/속옷/미디/맥시/위생/삼각/면,33000,9900,70
패션의류,언더웨어,4,[원더브라]원더브라 최신상 푸쉬업 브라팬티 균일가 LINE UP,60000,18000,70
패션의류,남성의류,2,체이스컬트 가을 쇼핑 START 추천 아이템 티셔츠/팬츠,33000,9900,70
패션의류,남성의류,3,[이지바이]가을오픈특가 등산티/추리닝/바지/바람막이,19600,5900,69
패션의류,남성의류,4,[행텐]행텐 가을SALE 맨투맨/데님 외 최대92%off+12%쿠폰,29600,8900,69
유아동/출산,유아동신발 ,1,[엘칸토]엘칸토 가을맞이 남여 로퍼/펌프스/스니커즈 특가 (LCWN813S20_B),37400,37400,0
유아동/출산,유아동의류,1,[버블트리]~160호/여아/유아/의류/아동복/주니어/원피스/레깅스,33000,9900,70
유아동/출산,신생아의류/잡화,1,가을신상오픈/후라이스내의/싱글스판내의/양면/칠부,23000,6900,70
유아동/출산,물티슈,1,블랑슈 시그니처 블랙 아기물티슈 캡형 100매 10팩,30000,12740,57
유아동/출산,분유/이유식,1,[베비언스]베비언스 킨더밀쉬 1단계 200ml 24입,26900,26900,0
유아동/출산,기저귀,1,팸퍼스 베이비드라이 팬티/밴드 1박스 기저귀,367830,137510,62
여행,국내여행,6,(공식판매처) 에버랜드 얼리버드 초특가 소인 종일권(~10/31),44000,20000,54
여행,국내여행,7,(공식판매처) 에버랜드 얼리버드 종일이용권(방문일 지정)(~10/31),56000,30000,46
여행,국내여행,8,(공식판매처) 에버랜드 종일/오후/나이트권(~10/31),46000,22900,50
여행,국내여행,9,"|충남 리조트| 롯데리조트 부여 (서천,부여)",91350,91350,0
도서/음반,ALL,6,(신사고) 우공비 일일어휘/일일독해/일이사회/일일과학 외 학년별 선택구매,11000,11000,0
